IPC,DSCR,IPCanterior,IPCanterior1,IPCanterior2,IPCanterior3,PM_L1_ICACHE_MISS,PERF_COUNT_HW_CACHE_L1D:READ:MISS,PERF_COUNT_HW_CACHE_L1D:WRITE:MISS,PERF_COUNT_HW_CACHE_LL:WRITE:MISS,PM_DATA_FROM_L3,PM_MEM_PREF,PERF_COUNT_HW_CACHE_L1I:PREFETCH:ACCESS,PERF_COUNT_HW_CACHE_L1D:PREFETCH:ACCESS,PM_MEM_READ,PM_L1_ICACHE_RELOADED_PREF,PM_DATA_FROM_MEMORY,PM_BR_MPRED_CMPL,LLC-LOAD-MISSES,PM_DISP_HELD_IQ_FULL,PM_CMPLU_STALL_DMISS_L3MISS,PERF_COUNT_HW_BRANCH_INSTRUCTIONS
1.239713,0,1.239485,1.262255,1.239351,1.284577,5276064,3002914,4898418,384756,1969714,302684,6463098,1865183,16138,7513974,547,6715152,99703,84606452,11560245,20302671
1.239996,0,1.239713,1.251629,1.239720,1.276983,3715997,3721500,4044145,564642,1948020,173520,7386250,2061011,52584,6597411,42468,7362837,64956,71074629,8238980,19587912
1.240096,0,1.239996,1.236162,1.239853,1.228523,4365870,3786789,4915975,427908,1195733,401586,7126032,1613375,41350,6292790,28293,6819983,74920,69625137,10343096,19783816
1.240168,0,1.240096,1.257401,1.239989,1.249509,4298305,3530748,4821228,444990,2259049,539990,5217424,1812034,56418,5956110,42618,6994650,90439,73719772,16772572,19926234
1.240514,0,1.240168,1.259073,1.240219,1.228021,3852344,3497703,4478289,421350,1161012,1272914,6210252,1270828,107722,3418465,83805,5862838,171366,59712524,17112540,18708884
1.239893,0,1.240514,1.244216,1.240444,1.175540,5493628,3566807,5824698,1364118,1956200,2563686,3312645,4413712,173224,3994441,114185,5978630,222944,83661073,23915350,18292202
1.239504,0,1.239893,1.150356,1.240280,1.133511,5526568,2411091,13431135,484332,3645969,3413308,4277841,2905773,25590,6870106,5535,5739432,312776,80983317,31614629,19025692
1.239581,0,1.239504,1.267435,1.239669,1.337016,2577837,1923570,1912439,136434,1125190,3409688,2456826,3066873,215738,7060650,128255,6990826,201830,93837486,41430823,17832915
1.239445,0,1.239581,1.228308,1.239492,1.247120,4477508,3467653,6132293,569980,1879654,1811122,5330056,1810213,297098,5282879,166520,6745630,6280,69883959,1105444,19823451
1.239259,0,1.239445,1.175349,1.239566,1.185736,3682778,3264518,2651533,298380,1181520,451620,7910032,1509991,305820,5776198,178135,7909072,146169,76112220,33847175,18347530
1.239305,0,1.239259,1.222975,1.239151,1.269105,4437198,3135414,3958842,387944,522256,368880,8159211,1396026,335630,5014227,192715,7112964,4737,54813081,892730,19699489
1.238977,0,1.239305,1.158149,1.239176,1.177451,3176250,2875086,2321958,281296,453603,392084,8148449,1214149,364818,5516415,211900,8047148,5847,49642508,1292115,19788455
1.238199,0,1.238977,1.155318,1.238917,1.137980,3301741,3245474,2885261,332620,507534,458058,8181384,1297613,394536,4993729,227859,7195819,6334,49277125,1330116,19575886
1.238732,0,1.238199,1.302858,1.238399,1.313884,5166185,3627880,3249771,344460,872218,2425478,4114889,1200051,31612,7833651,7911,8154496,229944,86682720,56380428,17587228
1.238293,0,1.238732,1.190462,1.238696,1.251565,5020692,3163760,2790106,387586,477084,319004,7879293,1519715,475898,4973500,266450,7283974,4822,50722121,893075,19450664
1.238232,0,1.238293,1.164014,1.238099,1.139125,3408863,2444239,2375791,302010,557514,2723646,5519486,1373407,41590,2466047,8600,2919274,3641,51215319,663636,20280912
1.238871,0,1.238232,1.321068,1.238118,1.304904,5113729,3068996,3743440,405940,1868762,39222,6761453,2343285,7178,5874045,954,6137832,23657,78687726,1985527,20959386
1.239401,0,1.238871,1.285926,1.238742,1.274640,4446539,3700640,3436465,439106,1325781,94604,6758810,1526985,9844,6461321,4176,7079889,35858,65185491,3398640,19926519
1.239504,0,1.239401,1.243717,1.239309,1.250345,4620286,3348441,3102265,421496,1827084,160344,5730115,1659904,25384,6084517,8507,7282929,42650,57913872,4439859,19328670
1.239653,0,1.239504,1.278185,1.239404,1.273820,4256280,3591620,4380434,547934,2254496,300022,7519126,2008777,32800,5509921,27010,6529178,60455,80090230,7210033,20306451
1.239723,0,1.239653,1.248671,1.239686,1.262832,4922176,3692187,5653169,531926,1398456,563124,6065361,1431578,36544,5972731,23657,7297760,66161,65675814,8512771,19147436
1.239958,0,1.239723,1.271352,1.239702,1.257874,4638438,3105537,3433003,425382,1638280,416798,6076093,1628374,51752,6492823,36484,7169453,78143,75853344,10640610,19166210
1.240068,0,1.239958,1.263989,1.239933,1.244258,3838293,3877323,4557674,373638,1794096,568928,6106696,1583266,56128,5658134,43975,7121569,95771,73695611,13700012,19184317
1.239993,0,1.240068,1.241541,1.240219,1.256366,4148046,3235039,3103808,352434,1748955,1304428,3577543,2068719,26460,5660142,5812,5232248,175185,72447835,23403405,18173160
1.240257,0,1.239993,1.279529,1.240253,1.294606,2268735,3460386,2671634,290236,1758181,2455504,3979776,1790358,24548,131584,9448,2882102,293971,70480282,46807020,17459070
1.239686,0,1.240257,1.135216,1.240015,1.156950,3030203,6979119,6643527,912386,2157669,2648284,6828841,3222768,37136,5349717,11959,7758598,239046,207286918,42862814,26095070
1.239328,0,1.239686,1.259851,1.239659,1.336755,1594584,2377427,3665926,314052,1491832,1495440,7121141,1698575,270810,4129067,186524,6023890,37923,73715399,5702279,20343761
1.238598,0,1.239328,1.219909,1.239716,1.179257,3414011,3766989,5487485,380794,1414909,2075460,5271716,1225987,49816,7050060,5428,6897109,178183,116273236,96321192,15160275
1.238079,0,1.238598,1.265967,1.238895,1.264744,4769868,3400166,3704941,394724,738202,2800020,5611938,1159057,51814,7805736,9567,7994830,179063,116793062,79902671,17088719
1.237692,0,1.238079,1.280447,1.238417,1.274073,5480423,3242205,3441640,388258,1062188,2773164,5135695,1434572,47744,6671080,6049,7715046,202632,118336588,87520504,16760156
1.237969,0,1.237692,1.260670,1.237877,1.262240,5038121,3389976,3595653,414860,704204,2919936,5380765,1120337,49984,7822380,7281,8520455,131721,95672181,61554584,17858279
1.237364,0,1.237969,1.148264,1.237848,1.174322,4398455,3085294,3167484,378186,726800,917080,7410697,1689561,364450,5293663,184749,7180909,5235,47513355,1970990,19965513
1.237047,0,1.237364,1.201517,1.237770,1.100047,2942479,3430196,1866197,213418,506043,471562,6967163,1272031,32546,7841506,6088,7962072,254814,117884995,103580813,15718417
1.237260,0,1.237047,1.237280,1.236967,1.277175,4937632,3343009,3133182,413364,626959,2176504,6046010,1447646,247360,6611393,114561,7776015,5305,49516045,1093061,19758746
1.237333,0,1.237260,1.185220,1.237106,1.057662,2659306,2601941,2061662,243132,502374,542474,6786925,1206464,40918,7902632,2927,7306234,4162,50341978,458897,20189669
1.237669,0,1.237333,1.276809,1.237251,1.270935,4324657,3563531,4840382,463300,1488732,52580,5886642,2153309,6366,6554916,1053,7067417,27925,63665896,2699123,19921114
1.237920,0,1.237669,1.277757,1.237643,1.265911,4308844,3662564,3531127,415800,1572866,101196,6454602,1633661,9466,6444312,3003,7088844,47486,59192960,4619105,19207690
1.238322,0,1.237920,1.296172,1.237847,1.312094,3727418,3270974,3052060,413548,2037539,179684,6040864,1656380,10908,7858834,5809,6729897,72007,77496894,7742646,20262774
1.238445,0,1.238322,1.257943,1.238261,1.237428,5027009,4213716,7405767,569076,1897689,525576,5525935,1812143,34332,5686623,17524,6791908,13129,69219419,1212533,20506803
1.238422,0,1.238445,1.228705,1.238402,1.230014,4105637,3319078,3696499,403444,2013687,403164,5990751,1595073,37826,6714254,27162,7386896,69010,57294001,9298683,19779802
1.238388,0,1.238422,1.220424,1.238441,1.212568,4072407,3437674,4147991,395858,1483429,1154656,6299005,1570387,105822,5725179,73440,6771229,84537,81205858,21540346,19329402
1.238385,0,1.238388,1.242700,1.238390,1.244097,3943799,3534299,3692056,402708,1384141,1252156,5673324,1330167,123878,5645628,92814,6943040,99548,74115004,23752523,18930280
1.238320,0,1.238385,1.232104,1.238413,1.275936,2855934,3204507,3015729,500284,1510942,1252740,5483905,1778683,23464,8674091,4942,6652058,255096,148824933,46390865,22339028
1.238394,0,1.238320,1.224547,1.238460,1.319761,2517240,2762341,2899804,311074,1298234,1751854,408152,1879674,241716,7262601,133975,5474059,345203,82420579,36102473,18723813
1.238025,0,1.238394,1.212455,1.238028,1.138236,5102164,4126169,11829752,3760630,3253524,2449218,4685033,2571512,227790,4269556,129539,5109001,268066,156646162,40529132,25917423
1.237922,0,1.238025,1.206793,1.238153,1.153503,4222187,3389910,2977471,329364,1733642,2967672,4912807,1358809,40780,5818353,40497,6942894,162873,91035162,42837133,17612421
1.237876,0,1.237922,1.207208,1.237860,1.242686,3971025,3147524,2840507,361362,1751132,1275184,6287453,1485155,304366,5725347,170371,6976235,6924,60521369,1314348,20000469
1.237773,0,1.237876,1.178924,1.237812,1.159396,3837199,3030671,2557788,295594,968043,800728,7435907,1627730,234674,5379739,133942,6860173,5879,47053367,1204393,19705061
1.237567,0,1.237773,1.161943,1.237740,1.168137,3420547,3020716,2601847,277268,1024941,353060,6813562,1726911,335806,5006652,199328,7133722,7635,47804940,1781839,19504775
1.237132,0,1.237567,1.132661,1.237534,1.122951,3672608,2577154,2387132,274682,626938,476032,7924897,1258990,385496,4699797,220461,7124533,5551,48479283,1204948,19269079
1.237180,0,1.237132,1.224595,1.237239,1.154178,3589852,2748468,1889467,261914,698333,474480,7625698,1229467,24160,7919560,5867,7965668,242856,99907408,64617631,17882936
1.237057,0,1.237180,1.239702,1.237101,1.306799,4833512,3158800,3431871,354776,699787,1094400,6769438,1568381,310766,5912366,163183,7590743,6724,49490607,1261988,19841020
1.237074,0,1.237057,1.186627,1.237245,1.118778,3205473,2665814,2137779,255760,671122,464924,8071806,1325955,106590,6969836,55668,7647270,231371,89979456,63768325,16036984
1.237340,0,1.237074,1.283218,1.237011,1.236708,2036799,1606576,1830535,212178,894518,134932,7890442,1835193,23662,7786667,1875,7426445,10917,60556565,894207,19748678
1.237835,0,1.237340,1.305496,1.237287,1.336616,3973332,3068030,4002688,480394,2254975,65534,6540011,2457007,18356,6702394,2516,7198495,40146,59586863,3710162,19342619
1.238041,0,1.237835,1.274539,1.237694,1.297843,4213149,3458290,3327578,419002,1763408,92088,6421068,1403399,13608,7037890,5376,7753956,59292,73686896,5835960,20248056
1.238171,0,1.238041,1.255787,1.238046,1.238222,3947121,3883884,4718741,453238,1217126,146530,7849751,1697007,19386,6450298,16974,6999454,23454,63515420,2271948,19236054
1.238283,0,1.238171,1.272380,1.238181,1.281190,3699080,3201983,4371412,390516,2180086,443478,5681779,1860425,16442,7342925,528,7060027,108375,66466876,13147968,18678162
1.238390,0,1.238283,1.247520,1.238275,1.235122,3901137,4010063,5322790,459020,1712624,379474,6817223,1555129,41024,7133373,31501,7854136,70070,67665302,9351886,18327727
1.238585,0,1.238390,1.263030,1.238337,1.283195,4144053,3241884,3254393,392246,1849776,467990,6280631,1795275,54686,5336240,41130,6932120,88047,70360015,12484977,19726847
1.238690,0,1.238585,1.270039,1.238485,1.284040,3744314,3176547,3390818,326698,1709753,627288,5940405,1497639,71990,6278454,51074,7446718,216946,96340478,27576993,18721486
1.238418,0,1.238690,1.253099,1.238570,1.219017,4129902,4162230,9542140,637484,2042504,1976482,8217662,2385192,106808,3306328,129244,5697741,320517,98229302,46670693,18238944
1.238392,0,1.238418,1.207319,1.238551,1.260772,86768,1788475,1894452,395780,1047536,2764664,7988980,1820021,42982,4169141,18890,6087197,338490,87099871,34570117,18216651
1.238329,0,1.238392,1.230376,1.238471,1.108308,3095559,5064799,2312646,371106,791823,2091484,4010898,4783556,128140,2502057,261532,5219164,140377,76270497,29205012,18414119
1.237738,0,1.238329,1.178515,1.238384,1.179316,2883621,3963507,5824339,334408,2093384,1709774,6561424,1760197,275824,5557008,155885,6619668,164843,92764294,38085721,18767069
1.237349,0,1.237738,1.257384,1.238032,1.259958,4593039,3548765,3168868,440948,1304238,1956602,5617877,1208985,76506,7142300,9091,7444689,179712,115144414,96015520,16100667
1.236860,0,1.237349,1.262166,1.237600,1.248461,4948631,3128983,3590937,368122,1474499,2439550,4588729,1713439,52796,8288839,5377,8101958,193974,114321861,90531252,16323235
1.236902,0,1.236860,1.274660,1.237170,1.288479,4293165,3466881,3706256,445716,1495087,2893675,4479698,1590288,51556,7776799,6781,8423818,211665,111144610,95556516,15836347
1.237043,0,1.236902,1.211068,1.236854,1.258086,5110542,3236193,3432990,408718,1216354,1861808,5749893,1510951,219896,6727204,101196,8205929,42631,59312454,19350629,19239003
1.236141,0,1.237043,1.105947,1.236905,1.107708,3382398,2979550,2354351,260510,595407,398508,7742230,1440653,405958,4646106,219448,6582241,26744,57399185,7866137,20399239
